ID_INDIVIDU,CODE_MAGASIN,PAYS,ETAT,TAILLE,TAILLE_SG,TAILLE_BONNET
2608,942,FR,E,,90,B
2611,942,FR,E,40,85,B
2612,942,FR,E,38,85,C
2616,942,FR,E,40,85,B
2617,942,FR,E,42,95,C
2620,942,FR,E,,,
2625,942,FR,E,40,90,B
2636,942,FR,E,38,85,C
2642,942,FR,N,42,90,C
2663,942,FR,E,40,90,C
2665,942,FR,E,40,85,A
2668,942,FR,E,36,85,B
2678,942,FR,E,40,90,B
2689,942,FR,E,40,90,C
2691,942,FR,M,36,85,C
2693,942,FR,E,38,85,B
2698,942,FR,E,42,95,B
2705,942,FR,E,40,95,C
2711,942,FR,N,,,
2712,942,FR,E,,90,B
2721,942,FR,E,40,90,A
2726,942,FR,N,40,95,B
2736,752,FR,N,,,
2745,942,FR,E,40,90,B
2750,942,FR,E,,,
2759,942,FR,E,40,90,B
2771,942,FR,E,40,90,B
2772,942,FR,E,40,85,B
2774,942,FR,E,38,85,B
2778,942,FR,E,,,
2783,942,FR,E,,80,B
2789,942,FR,M,,85,C
2790,942,FR,E,,,
2793,942,FR,E,,,
2795,942,FR,E,38,85,C
2796,942,FR,E,38,90,D
2803,942,FR,E,,,
2804,942,FR,E,,,
2806,942,FR,E,38,85,C
2811,942,FR,E,42,95,B
2814,942,FR,M,42,95,B
2822,942,FR,E,,,
2831,942,FR,E,,,
2836,942,FR,N,,,
2847,942,FR,E,38,85,C
2856,942,FR,E,,,
2860,942,FR,E,40,95,B
2880,942,FR,E,,,
2882,942,FR,E,38,85,B
2885,942,FR,E,42,85,B
2886,942,,N,40,90,C
2889,942,FR,E,,,
2898,942,FR,E,40,90,B
2899,942,FR,E,42,90,D
2901,942,FR,E,38,85,B
2905,942,FR,E,38,85,A
2911,942,FR,E,36,90,B
2915,942,FR,E,40,90,B
2916,942,FR,E,42,85,D
2921,942,FR,E,40,85,B
2931,942,FR,E,36,85,B
2935,942,FR,E,40,85,B
2943,942,FR,E,40,90,C
2963,942,FR,E,40,90,B
2976,942,,N,44,95,C
2978,942,FR,E,,85,B
2984,942,FR,E,40,85,B
2992,942,FR,E,40,90,B
2996,942,FR,E,,,
2999,942,FR,E,,,
3001,942,FR,E,38,85,B
3002,942,FR,E,38,85,C
3003,942,FR,E,40,85,B
3017,942,FR,E,38,90,B
3023,942,FR,E,42,90,B
3036,942,FR,E,,,
3041,942,FR,E,40,90,D
3053,942,FR,E,42,90,a
3073,942,FR,E,,90,C
3075,942,FR,E,,,
3077,942,FR,E,38,,
3081,942,FR,E,38,85,B
3088,942,FR,E,,,
3094,942,FR,E,,,
3096,942,FR,E,,,
3101,942,FR,E,38,85,B
3113,942,FR,E,,,
3115,942,FR,E,42,95,D
3118,942,FR,E,38,95,C
3124,942,FR,E,,,
3140,942,FR,M,40,90,C
3141,942,FR,E,40,85,B
3154,942,FR,E,36,85,A
3155,942,FR,M,38,90,B
3158,942,FR,E,40,90,B
3165,942,FR,E,40,85,D
3168,942,FR,E,40,95,B
3170,942,FR,E,42,90,B
3171,942,FR,E,38,85,B
3176,942,FR,E,36,90,B
3187,942,FR,E,,90,B
3196,942,FR,E,42,90,B
3201,942,FR,E,44,95,C
3207,942,FR,E,,,
3208,942,FR,E,40,90,C
3225,942,FR,E,,,
3234,942,FR,E,38,95,C
3236,942,FR,E,,,
3240,942,FR,E,36,85,B
3249,942,FR,E,38,80,B
3251,942,FR,E,38,85,B
3272,942,FR,E,44,,
3273,942,FR,E,38,90,B
3274,942,FR,E,42,90,B
3276,942,FR,E,38,95,A
3288,942,FR,N,38,90,B
3293,942,FR,E,44,95,D
3326,942,FR,E,38,90,C
3331,942,FR,E,40,90,B
3351,942,FR,E,40,85,B
3354,942,FR,E,40,90,B
3356,942,FR,S,,,
3357,942,FR,E,40,95,D
3358,942,FR,E,34,90,B
3363,942,FR,E,36,80,B
3372,942,FR,E,38,85,C
3382,942,FR,E,38,90,A
3384,942,FR,E,,,
3392,942,FR,E,38,,
3397,942,FR,E,,,
3404,942,FR,E,34,80,B
3423,942,FR,E,,,
3429,942,FR,E,,,
3446,942,FR,N,38,85,C
3463,942,FR,E,40,85,D
3471,942,FR,E,36,90,B
3476,942,FR,E,40,95,B
3481,942,FR,E,42,95,C
3484,942,FR,E,44,95,D
3507,942,FR,E,40,85,B
3519,942,FR,E,38,85,B
3531,942,FR,E,42,85,B
3532,942,FR,E,40,85,A
3546,942,FR,E,38,85,B
3547,942,FR,M,42,95,B
3548,942,FR,E,38,85,B
3550,942,FR,E,40,90,C
3553,942,FR,E,,,
3555,942,FR,E,42,90,B
3571,942,FR,E,38,85,B
3578,942,FR,E,38,85,B
3579,942,FR,E,,,
3580,942,FR,E,40,85,B
3588,942,FR,E,38,85,C
3595,942,FR,E,36,90,A
3596,942,FR,E,,,
3603,942,FR,N,40,90,B
3615,942,FR,E,38,90,B
3618,941,FR,N,40,90,B
3622,942,FR,E,42,90,D
3642,942,FR,E,38,90,C
3646,942,FR,E,38,85,B
3654,942,FR,E,,,
3657,942,FR,E,42,95,B
3676,942,FR,N,40,85,B
3688,942,FR,E,36,95,C
3731,942,FR,E,38,85,A
3749,942,FR,E,40,90,B
3750,942,FR,E,38,85,C
3756,942,FR,E,36,85,C
3757,942,FR,E,40,90,B
3761,942,FR,E,38,90,B
3768,942,FR,E,42,90,A
3780,942,FR,E,40,90,B
3781,942,FR,E,,,
3790,942,FR,E,36,85,C
3791,942,FR,E,42,95,D
3792,942,FR,E,40,85,C
3794,942,FR,E,42,95,B
3800,942,FR,E,44,90,B
3808,942,FR,E,38,85,A
3809,942,FR,E,40,85,B
3812,942,FR,E,40,90,C
3813,942,FR,E,42,95,B
3817,942,FR,E,38,90,B
3824,942,FR,E,40,95,C
3826,942,FR,E,38,85,B
3827,942,FR,E,40,90,B
3832,942,FR,E,42,95,B
3837,942,FR,E,36,85,B
3839,942,FR,E,42,95,C
3840,942,FR,E,40,85,C
3848,942,FR,N,36,85,B
3849,942,FR,E,40,90,B
3852,942,FR,E,40,85,B
3859,942,FR,E,42,85,B
3868,942,FR,E,40,90,B
3870,942,FR,E,44,90,C
3882,942,FR,E,40,85,B
3898,942,FR,E,40,85,C
3913,942,FR,E,,,
3916,942,FR,E,40,90,B
3918,942,FR,E,42,90,B
3926,942,FR,E,40,95,B
3936,942,FR,E,40,90,B
3953,942,FR,E,38,95,B
3959,942,FR,E,38,85,B
3966,942,FR,E,40,90,C
3972,942,FR,E,38,90,B
3988,942,FR,E,42,85,B
3994,942,FR,E,40,90,A
3996,942,FR,E,,,
3997,942,FR,E,38,90,C
3998,942,FR,E,40,90,A
3999,942,FR,E,38,90,C
4005,942,FR,E,40,85,A
4006,942,FR,E,40,85,B
4013,942,FR,E,38,90,D
4022,942,FR,E,,,
4023,942,FR,E,40,85,B
4032,942,FR,E,40,90,b
4041,942,FR,E,42,90,D
4044,942,FR,E,40,95,B
4051,942,FR,E,38,80,B
4053,942,FR,E,38,85,A
4061,942,FR,E,36,85,B
4067,942,FR,E,38,95,B
4069,942,FR,E,38,80,B
4083,942,FR,E,42,95,A
4094,942,FR,E,40,90,B
4110,942,FR,E,44,95,C
4116,942,FR,E,38,95,C
4117,942,FR,E,42,90,D
4121,942,,E,38,85,B
4123,942,FR,E,38,85,B
4125,942,FR,E,40,85,B
